Building Name,Postcode,Year,latitude,longitude,Address,Type,Function,Size,Employee,Transportation,GFA,Energy,Waste,Water,Scope1,Scope2,Scope3,GHG_Total,EUI,GHG_Intensity,Award,Year of GM Award,GM Version,Validation Result
DSO NATIONAL LABORATORIES,118230,2021,1.3545,103.7005,"20 SCIENCE PARK DRIVE, SINGAPORE 118230",Commercial Building,Office,Large,1042,5900957.5384933,15819.43,10454775.0,138.428001446913,36591.0700733145,23.199299,757.506344,718.301965,1499.007608,660.881902824564,0.09475737166256938,goldplus,2013.0,New Building for Non-Residential buildings (version 4),Pass
DSO NATIONAL LABORATORIES,118230,2022,1.3545,103.7005,"20 SCIENCE PARK DRIVE, SINGAPORE 118230",Commercial Building,Office,Large,1042,5900957.5384933,15819.43,12740222.25,143.754277093075,37384.7379542628,22.9241542549955,805.421999756121,717.594528186731,1545.94068219785,805.352800322136,0.09772417098453294,,,,No Green Mark
DSO NATIONAL LABORATORIES,118230,2022,1.3545,103.7005,"20 SCIENCE PARK DRIVE, SINGAPORE 118230",Commercial Building,Office,Large,1042,5900957.5384933,15819.43,12740222.25,143.754277093075,37384.7379542628,22.9241542549955,805.421999756121,717.594528186731,1545.94068219785,805.352800322136,0.09772417098453294,goldplus,2013.0,New Building for Non-Residential buildings (version 4),Pass
DSO NATIONAL LABORATORIES,118230,2022,1.3545,103.7005,"20 SCIENCE PARK DRIVE, SINGAPORE 118230",Commercial Building,Office,Large,1042,5900957.5384933,15819.43,12740222.25,143.754277093075,37384.7379542628,22.9241542549955,805.421999756121,717.594528186731,1545.94068219785,805.352800322136,0.09772417098453294,,,,No Green Mark
DSO NATIONAL LABORATORIES,118230,2022,1.3545,103.7005,"20 SCIENCE PARK DRIVE, SINGAPORE 118230",Commercial Building,Office,Large,1042,5900957.5384933,15819.43,12740222.25,143.754277093075,37384.7379542628,22.9241542549955,805.421999756121,717.594528186731,1545.94068219785,805.352800322136,0.09772417098453294,goldplus,2013.0,New Building for Non-Residential buildings (version 4),Pass
DSO NATIONAL LABORATORIES,118230,2023,1.3545,103.7005,"20 SCIENCE PARK DRIVE, SINGAPORE 118230",Commercial Building,Office,Large,1042,5900957.5384933,15819.43,15348190.1868084,136.905939300018,37051.5094817027,23.2638056248837,817.464705133367,708.007185148707,1548.73569590696,970.211327892877,0.09790085331184246,,,,No Green Mark
DSO NATIONAL LABORATORIES,118230,2023,1.3545,103.7005,"20 SCIENCE PARK DRIVE, SINGAPORE 118230",Commercial Building,Office,Large,1042,5900957.5384933,15819.43,15348190.1868084,136.905939300018,37051.5094817027,23.2638056248837,817.464705133367,708.007185148707,1548.73569590696,970.211327892877,0.09790085331184246,goldplus,2013.0,New Building for Non-Residential buildings (version 4),Pass
DSO NATIONAL LABORATORIES,118230,2023,1.3545,103.7005,"20 SCIENCE PARK DRIVE, SINGAPORE 118230",Commercial Building,Office,Large,1042,5900957.5384933,15819.43,15348190.1868084,136.905939300018,37051.5094817027,23.2638056248837,817.464705133367,708.007185148707,1548.73569590696,970.211327892877,0.09790085331184246,,,,No Green Mark
DSO NATIONAL LABORATORIES,118230,2023,1.3545,103.7005,"20 SCIENCE PARK DRIVE, SINGAPORE 118230",Commercial Building,Office,Large,1042,5900957.5384933,15819.43,15348190.1868084,136.905939300018,37051.5094817027,23.2638056248837,817.464705133367,708.007185148707,1548.73569590696,970.211327892877,0.09790085331184246,goldplus,2013.0,New Building for Non-Residential buildings (version 4),Pass
UOB ALEXANDRA BUILDING,119954,2021,1.293,103.8483,"396 ALEXANDRA ROAD, SINGAPORE 119954",Commercial Building,Office,Large,2647,13319677.8058493,30469.0,21700729.88,271.116975373016,78917.6353477348,23.574428,1382.556558,1473.493941,2879.624927,712.223239358036,0.09450999136827595,goldplus,2022.0,Existing Building for Non-Residential buildings (version 3),Pass
UOB ALEXANDRA BUILDING,119954,2022,1.293,103.8483,"396 ALEXANDRA ROAD, SINGAPORE 119954",Commercial Building,Office,Large,2647,13319677.8058493,30469.0,22057097.25,262.409874834472,78847.76178152,23.0747763308986,1463.13042319782,1427.37115871569,2913.5763582444,723.91930322623,0.09562428560978044,goldplus,2022.0,Existing Building for Non-Residential buildings (version 3),Pass
UOB ALEXANDRA BUILDING,119954,2023,1.293,103.8483,"396 ALEXANDRA ROAD, SINGAPORE 119954",Commercial Building,Office,Large,2647,13319677.8058493,30469.0,22224019.3347377,269.972318083385,79360.3944786887,23.0088814522633,1495.92421333696,1438.76623219842,2957.69932698763,729.397726697224,0.09707241218903245,goldplus,2022.0,Existing Building for Non-Residential buildings (version 3),Pass
TELEPARK,529482,2021,1.3368,103.9637,"5 TAMPINES CENTRAL 6, SINGAPORE 529482",Commercial Building,Office,Large,1639,8114297.05573833,31179.0,23499102.0,211.295588046087,53159.7742747206,18.865911,1473.188434,1583.741146,3075.795491,753.683633214664,0.09864958757497033,,,,No Green Mark
TELEPARK,529482,2022,1.3368,103.9637,"5 TAMPINES CENTRAL 6, SINGAPORE 529482",Commercial Building,Office,Large,1639,8114297.05573833,31179.0,21676768.0,215.33627108971,51789.4580172202,18.4044567726464,1500.97443733225,1548.08794795177,3067.46684205667,695.236152538568,0.09838246390380288,,,,No Green Mark
TELEPARK,529482,2023,1.3368,103.9637,"5 TAMPINES CENTRAL 6, SINGAPORE 529482",Commercial Building,Office,Large,1639,8114297.05573833,31179.0,20353509.3045668,208.595279698756,51930.377245025,18.349339194214,1405.04686135517,1595.16531439563,3018.56151494502,652.79544900628,0.09681392972657943,,,,No Green Mark
HELIOS,138667,2021,1.3335,103.9655,"11 BIOPOLIS WAY, SINGAPORE 138667",Commercial Building,Office,Large,3471,18106800.5937502,36007.0,23385880.0661846,339.421745226029,100670.583114999,42.977449,2081.707295,1787.479513,3912.164257,649.481491548438,0.10865010295220373,goldplus,2016.0,Existing Building for Non-Residential buildings (version 3),Pass
HELIOS,138667,2022,1.3335,103.9655,"11 BIOPOLIS WAY, SINGAPORE 138667",Commercial Building,Office,Large,3471,18106800.5937502,36007.0,23718368.8993342,334.745406100619,98734.4904277402,42.1684248541128,1987.45640103682,1729.26146054204,3758.88628643298,658.715496968207,0.10439320927689004,goldplus,2016.0,Existing Building for Non-Residential buildings (version 3),Pass
HELIOS,138667,2023,1.3335,103.9655,"11 BIOPOLIS WAY, SINGAPORE 138667",Commercial Building,Office,Large,3471,18106800.5937502,36007.0,24023543.5731753,342.339321707545,103307.177377224,42.1129459829503,2033.54354022562,1636.523691551,3712.18017775957,667.190923242016,0.10309606959090094,goldplus,2016.0,Existing Building for Non-Residential buildings (version 3),Pass
THE KENDALL,117406,2021,1.3554,103.6924,"50 SCIENCE PARK ROAD, SINGAPORE 117406",Commercial Building,Office,Large,1398,8074384.2359703,20190.0,10688434.51,171.995896604607,46042.3622298542,41.22917,1070.354847,996.151855,2107.735872,529.392496780584,0.10439504071322438,certified,2021.0,Existing Non-Residental Buildings ENRB: 2017,Pass
THE KENDALL,117406,2022,1.3554,103.6924,"50 SCIENCE PARK ROAD, SINGAPORE 117406",Commercial Building,Office,Large,1398,8074384.2359703,20190.0,11472836.25,161.603925246829,44489.9044457804,40.8471258176349,1089.71380959377,959.797122054597,2090.35805746601,568.243499257058,0.10353432676899504,certified,2021.0,Existing Non-Residental Buildings ENRB: 2017,Pass
THE KENDALL,117406,2023,1.3554,103.6924,"50 SCIENCE PARK ROAD, SINGAPORE 117406",Commercial Building,Office,Large,1398,8074384.2359703,20190.0,11520482.8403726,160.235321290163,43751.1642081338,40.7834139246862,1090.1643951069,947.289188392446,2078.23699742403,570.603409627173,0.10293397708885736,certified,2021.0,Existing Non-Residental Buildings ENRB: 2017,Pass
XILINX ASIA PACIFIC PTE LTD,486040,2021,1.304,103.7739,"XILINX ASIA PACIFIC PTE LTD, 5 CHANGI BUSINESS PARK VISTA, SINGAPORE 486040",Commercial Building,Office,Large,1669,10267788.5563709,20619.0,10753252.5,230.706023897698,64545.1290926449,41.893504,1058.408205,1173.071115,2273.372824,521.521533537029,0.11025621145545371,platinum,2007.0,New Building (version 1),Fail
XILINX ASIA PACIFIC PTE LTD,486040,2022,1.304,103.7739,"XILINX ASIA PACIFIC PTE LTD, 5 CHANGI BUSINESS PARK VISTA, SINGAPORE 486040",Commercial Building,Office,Large,1669,10267788.5563709,20619.0,10779866.63,228.817069824383,62200.7362480497,41.6340176661252,1067.44285642764,1218.76916646362,2327.84604055738,522.812291090742,0.11289810565776129,platinum,2007.0,New Building (version 1),Fail
XILINX ASIA PACIFIC PTE LTD,486040,2023,1.304,103.7739,"XILINX ASIA PACIFIC PTE LTD, 5 CHANGI BUSINESS PARK VISTA, SINGAPORE 486040",Commercial Building,Office,Large,1669,10267788.5563709,20619.0,11069391.4339592,229.481347752535,61433.8505251695,42.3913321426033,1030.10167563439,1183.85234797796,2256.34535575496,536.853942187262,0.10943039700058005,platinum,2007.0,New Building (version 1),Pass
INNOVIS,138634,2021,1.3469,103.8911,"2 FUSIONOPOLIS WAY, SINGAPORE 138634",Commercial Building,Office,Large,3081,20200459.5185412,41193.0,20233260.39,432.347841499536,116740.344842471,111.044294,2319.150698,2356.938459,4787.133451,491.182006408856,0.11621230429927414,gold,2023.0,GM:2021 In Operation,Pass
INNOVIS,138634,2022,1.3469,103.8911,"2 FUSIONOPOLIS WAY, SINGAPORE 138634",Commercial Building,Office,Large,3081,20200459.5185412,41193.0,20368925.15,417.642406669874,112683.843047085,111.302916609367,2309.70377422031,2357.67229359645,4778.67898442613,494.475399946593,0.11600706392897167,gold,2023.0,GM:2021 In Operation,Pass
INNOVIS,138634,2023,1.3469,103.8911,"2 FUSIONOPOLIS WAY, SINGAPORE 138634",Commercial Building,Office,Large,3081,20200459.5185412,41193.0,20190402.4919518,424.345444563291,115452.021530665,110.651076776004,2212.08771539215,2334.22832388721,4656.96711605536,490.141589395086,0.11305239035892894,gold,2023.0,GM:2021 In Operation,Pass
ESR BIZPARK@CHAI CHEE,469000,2021,1.3308,103.7957,"750 CHAI CHEE ROAD, SINGAPORE 469000",Commercial Building,Office,Large,13239,80968312.6768902,141841.0,51087720.25,1282.46028881712,375813.125727776,306.806214,9190.098639,7972.243943,17469.148796,360.175973449144,0.12316007921545957,,,,No Green Mark
ESR BIZPARK@CHAI CHEE,469000,2022,1.3308,103.7957,"750 CHAI CHEE ROAD, SINGAPORE 469000",Commercial Building,Office,Large,13239,80968312.6768902,141841.0,69517292.06,1228.51598699012,365832.795318394,305.318716493619,9104.12408099318,7540.26539792185,16949.7081954086,490.107176768353,0.11949794625960476,,,,No Green Mark
ESR BIZPARK@CHAI CHEE,469000,2023,1.3308,103.7957,"750 CHAI CHEE ROAD, SINGAPORE 469000",Commercial Building,Office,Large,13239,80968312.6768902,141841.0,71341585.3707215,1236.74940121644,375968.367148401,312.732212037149,8731.29003899045,7538.28398392754,16582.3062349551,502.968714058146,0.11690770817291968,,,,No Green Mark
HEALTH PROMOTION BOARD,168937,2021,1.2822,103.8513,"3 SECOND HOSPITAL AVENUE, SINGAPORE 168937",Commercial Building,Office,Large,1774,12389475.3021765,32147.8,16306377.0,314.92644668727,79490.9777759481,104.221452,1987.41098,1852.490672,3944.123104,507.231505732896,0.12268718556168695,platinum,2020.0,Existing Building for Non-Residential buildings (version 2.1),Fail
HEALTH PROMOTION BOARD,168937,2022,1.2822,103.8513,"3 SECOND HOSPITAL AVENUE, SINGAPORE 168937",Commercial Building,Office,Large,1774,12389475.3021765,32147.8,15537328.0,303.64458031212,75271.4168582888,105.379682716204,2013.05865430897,1919.19505416288,4037.63339118806,483.309215560629,0.1255959471935268,platinum,2020.0,Existing Building for Non-Residential buildings (version 2.1),Fail
HEALTH PROMOTION BOARD,168937,2023,1.2822,103.8513,"3 SECOND HOSPITAL AVENUE, SINGAPORE 168937",Commercial Building,Office,Large,1774,12389475.3021765,32147.8,34125291.8223791,321.132620776297,78027.2686248046,102.452621123189,2103.15068004032,1959.11810948854,4164.72141065205,1061.51250855048,0.1295491887672578,platinum,2020.0,Existing Building for Non-Residential buildings (version 2.1),Fail
SEAGATE SINGAPORE DESIGN CENTER - THE SHUGART,139944,2021,1.3297,103.8656,"26 AYER RAJAH CRESCENT, SINGAPORE 139944",Commercial Building,Office,Large,3026,16430636.6026207,40880.0,19724779.0,369.371134085728,102420.538048599,53.012536,2413.961398,2109.680359,4576.654293,482.504378669276,0.11195338290117415,platinum,2015.0,New Building for Non-Residential buildings (version 4.1),Fail
SEAGATE SINGAPORE DESIGN CENTER - THE SHUGART,139944,2022,1.3297,103.8656,"26 AYER RAJAH CRESCENT, SINGAPORE 139944",Commercial Building,Office,Large,3026,16430636.6026207,40880.0,18678607.0,376.138880053168,104469.048041873,52.0724718549504,2523.78719217419,2118.90890233861,4694.76856636774,456.913087084149,0.11484267530253768,platinum,2015.0,New Building for Non-Residential buildings (version 4.1),Fail
SEAGATE SINGAPORE DESIGN CENTER - THE SHUGART,139944,2023,1.3297,103.8656,"26 AYER RAJAH CRESCENT, SINGAPORE 139944",Commercial Building,Office,Large,3026,16430636.6026207,40880.0,17999578.9289203,392.05899944824,107170.34569926,52.9281506951365,2682.12120298607,2117.87211611501,4852.92146979622,440.302811372806,0.11871138624746135,platinum,2015.0,New Building for Non-Residential buildings (version 4.1),Fail
HEALTH SCIENCES AUTHORITY,169078,2021,1.2999,103.7881,"11 OUTRAM ROAD, SINGAPORE 169078",Commercial Building,Office,Large,1268,10054019.3338549,17284.0,7930558.63,194.364910473777,51430.7540325529,68.97521,1094.757851,1024.67285,2188.405911,458.838152626707,0.12661455166628094,platinum,2022.0,Existing Non-Residential Buildings (RECERT 2017),Fail
HEALTH SCIENCES AUTHORITY,169078,2022,1.2999,103.7881,"11 OUTRAM ROAD, SINGAPORE 169078",Commercial Building,Office,Large,1268,10054019.3338549,17284.0,7572900.24,209.434746865937,55182.2294009917,70.5400537747836,1130.4970259648,1056.561091621,2257.59817136059,438.145119185374,0.13061780672070067,platinum,2022.0,Existing Non-Residential Buildings (RECERT 2017),Fail
HEALTH SCIENCES AUTHORITY,169078,2023,1.2999,103.7881,"11 OUTRAM ROAD, SINGAPORE 169078",Commercial Building,Office,Large,1268,10054019.3338549,17284.0,7497879.88207769,197.053586475155,52684.0018097768,68.9556171484478,1191.30210996774,1073.10775338082,2333.36548049701,433.804668021158,0.1350014742245435,platinum,2022.0,Existing Non-Residential Buildings (RECERT 2017),Fail
BANK OF AMERICA HARBOURFRONT,098499,2021,1.2999,103.7894,"2 HARBOURFRONT PLACE, SINGAPORE 098499, SINGAPORE 098499",Commercial Building,Office,Large,2034,9616873.76754991,22651.0,9009592.00000001,223.969222213841,65842.9477883315,15.112654,1037.352844,1181.429527,2233.895025,397.756920224273,0.09862235773255043,goldplus,2021.0,Existing Building for Non-Residential buildings (version 3),Pass
BANK OF AMERICA HARBOURFRONT,098499,2022,1.2999,103.7894,"2 HARBOURFRONT PLACE, SINGAPORE 098499, SINGAPORE 098499",Commercial Building,Office,Large,2034,9616873.76754991,22651.0,9856368.0,213.93958615051,62331.7097157634,14.6841083331936,1048.05507868323,1183.79378026915,2246.53296728558,435.140523597192,0.0991802996461781,goldplus,2021.0,Existing Building for Non-Residential buildings (version 3),Pass
BANK OF AMERICA HARBOURFRONT,098499,2023,1.2999,103.7894,"2 HARBOURFRONT PLACE, SINGAPORE 098499, SINGAPORE 098499",Commercial Building,Office,Large,2034,9616873.76754991,22651.0,10984856.8060222,226.026380844782,65233.4891569825,14.788524296523,1027.25959564495,1196.48071371674,2238.52883365822,484.961229350678,0.09882693186429825,goldplus,2021.0,Existing Building for Non-Residential buildings (version 3),Pass
NEUROS,138665,2021,1.2981,103.7901,"8 BIOMEDICAL GROVE, SINGAPORE 138665, SINGAPORE 138665",Commercial Building,Office,Large,850,6055822.60017784,12960.0,5329978.56259138,119.205997230521,31025.298953172,39.331944,602.124855,673.609275,1315.066074,411.26377797773,0.10147114768518518,gold,2023.0,GM:2021 In Operation,Pass
NEUROS,138665,2022,1.2981,103.7901,"8 BIOMEDICAL GROVE, SINGAPORE 138665, SINGAPORE 138665",Commercial Building,Office,Large,850,6055822.60017784,12960.0,5490993.18861771,118.884784466335,30678.1205451981,39.7342331138494,635.369097684286,664.847619031328,1339.95094982946,423.687746035317,0.10339127699301388,gold,2023.0,GM:2021 In Operation,Pass
NEUROS,138665,2023,1.2981,103.7901,"8 BIOMEDICAL GROVE, SINGAPORE 138665, SINGAPORE 138665",Commercial Building,Office,Large,850,6055822.60017784,12960.0,5559722.31687314,122.469163151457,32082.5198138719,38.5669150789907,658.515082669456,658.653374543006,1355.73537229145,428.990919511816,0.10460921082495755,gold,2023.0,GM:2021 In Operation,Pass
VALLEY POINT,248371,2021,1.2994,103.7876,"491 RIVER VALLEY ROAD, SINGAPORE 248371",Commercial Building,Office,Large,1998,12301756.7819208,26417.0,10555932.4,307.140431655345,80704.3287079424,60.63983,1431.580052,1225.278914,2717.498796,399.588613392891,0.1028693188477117,gold,2022.0,GM:2021 In Operation,Pass
VALLEY POINT,248371,2022,1.2994,103.7876,"491 RIVER VALLEY ROAD, SINGAPORE 248371",Commercial Building,Office,Large,1998,12301756.7819208,26417.0,10753820.8,301.867048447892,82685.4198685753,60.3389526364236,1350.57580957203,1302.73134483754,2713.64610704599,407.079562402998,0.10272347757300185,gold,2022.0,GM:2021 In Operation,Pass
VALLEY POINT,248371,2023,1.2994,103.7876,"491 RIVER VALLEY ROAD, SINGAPORE 248371",Commercial Building,Office,Large,1998,12301756.7819208,26417.0,11058279.7925924,311.083683417946,83198.0381555772,60.4787964228545,1358.73206760986,1218.89658004115,2638.10744407387,418.604678524905,0.09986400590808456,gold,2022.0,GM:2021 In Operation,Pass
RAFFLES CITY TOWER,179103,2021,1.2999,103.7881,"252 NORTH BRIDGE ROAD, SINGAPORE 179103",Commercial Building,Office,Large,3055,20014379.2315695,44934.0,38586287.63,377.311139399311,101305.152059139,128.051186,2337.656832,2405.562656,4871.270674,390.532704052814,0.10840945996350203,goldplus,2020.0,Existing Building for Non-Residential buildings (version 2.1),Pass
RAFFLES CITY TOWER,179103,2021,1.2999,103.7881,"252 NORTH BRIDGE ROAD, SINGAPORE 179103",Commercial Building,Office,Large,3055,20014379.2315695,44934.0,38586287.63,377.311139399311,101305.152059139,128.051186,2337.656832,2405.562656,4871.270674,390.532704052814,0.10840945996350203,,,,No Green Mark
RAFFLES CITY TOWER,179103,2022,1.2999,103.7881,"252 NORTH BRIDGE ROAD, SINGAPORE 179103",Commercial Building,Office,Large,3055,20014379.2315695,44934.0,40096881.0,345.453517676493,94795.2718148469,128.502104128317,2486.97476999211,2258.03320436829,4873.51007848872,397.20681529337,0.10845929760290025,goldplus,2020.0,Existing Building for Non-Residential buildings (version 2.1),Pass
RAFFLES CITY TOWER,179103,2022,1.2999,103.7881,"252 NORTH BRIDGE ROAD, SINGAPORE 179103",Commercial Building,Office,Large,3055,20014379.2315695,44934.0,40096881.0,345.453517676493,94795.2718148469,128.502104128317,2486.97476999211,2258.03320436829,4873.51007848872,397.20681529337,0.10845929760290025,,,,No Green Mark
RAFFLES CITY TOWER,179103,2023,1.2999,103.7881,"252 NORTH BRIDGE ROAD, SINGAPORE 179103",Commercial Building,Office,Large,3055,20014379.2315695,44934.0,40579879.5,369.3144488918,101674.044520587,124.670309831015,2589.28272364618,2168.36023385201,4882.3132673292,406.947358133545,0.10865521136175725,goldplus,2020.0,Existing Building for Non-Residential buildings (version 2.1),Pass
RAFFLES CITY TOWER,179103,2023,1.2999,103.7881,"252 NORTH BRIDGE ROAD, SINGAPORE 179103",Commercial Building,Office,Large,3055,20014379.2315695,44934.0,40579879.5,369.3144488918,101674.044520587,124.670309831015,2589.28272364618,2168.36023385201,4882.3132673292,406.947358133545,0.10865521136175725,,,,No Green Mark
SHAW CENTRE,228208,2021,1.3346,103.7429,"1 SCOTTS ROAD, SINGAPORE 228208",Commercial Building,Office,Large,3192,16627953.9571449,40939.0,13427904.0,443.329717271773,121945.4154284,42.460522,2607.718146,1679.288468,4329.467136,327.997850460441,0.10575410088179976,gold,2021.0,Existing Building for Non-Residential buildings (version 3),Pass
SHAW CENTRE,228208,2022,1.3346,103.7429,"1 SCOTTS ROAD, SINGAPORE 228208",Commercial Building,Office,Large,3192,16627953.9571449,40939.0,15190500.0,453.986670152843,122656.211135443,41.5443605016841,2456.18179448206,1773.76407520156,4271.4902301853,371.052053054545,0.1043379230119275,gold,2021.0,Existing Building for Non-Residential buildings (version 3),Pass
SHAW CENTRE,228208,2023,1.3346,103.7429,"1 SCOTTS ROAD, SINGAPORE 228208",Commercial Building,Office,Large,3192,16627953.9571449,40939.0,16412819.2982702,456.370342116913,125517.521238721,42.6690339385156,2450.98575087209,1732.30564811521,4225.96043292582,400.90914038619,0.10322578550833728,gold,2021.0,Existing Building for Non-Residential buildings (version 3),Pass
UE SQUARE,239920,2021,1.2856,103.8478,"83 CLEMENCEAU AVENUE, SINGAPORE 239920",Commercial Building,Office,Large,2582,13850429.4640111,30809.0,13025199.76,360.757487246814,99909.6780802322,42.919406,1694.98915,1318.046405,3055.954961,422.772558667922,0.09919033272744977,,,,No Green Mark
UE SQUARE,239920,2022,1.2856,103.8478,"83 CLEMENCEAU AVENUE, SINGAPORE 239920",Commercial Building,Office,Large,2582,13850429.4640111,30809.0,10957751.84,350.945857901489,97264.4053204891,42.1419677143543,1628.77341745316,1391.87169437321,3062.78707954073,355.667234898893,0.09941208995880196,,,,No Green Mark
UE SQUARE,239920,2023,1.2856,103.8478,"83 CLEMENCEAU AVENUE, SINGAPORE 239920",Commercial Building,Office,Large,2582,13850429.4640111,30809.0,9753049.22319506,357.422173611217,98918.0192713369,43.1670340792925,1647.81975431278,1327.99474433799,3018.98153273006,316.564939569446,0.09799024741893797,,,,No Green Mark
WESTGATE TOWER,608531,2021,1.3014,103.8374,"1 GATEWAY DRIVE, #01-51 WESTGATE TOWER, SINGAPORE 608531",Commercial Building,Office,Large,2549,19020435.7468941,38868.0,6643174.915,366.919352436679,57542.355,140.519878,2165.203102,1646.254057,3951.977037,303.544329370733,0.10167688167644336,platinum,2018.0,New Building for Non-Residential buildings (version 4.1),Pass
WESTGATE TOWER,608531,2022,1.3014,103.8374,"1 GATEWAY DRIVE, #01-51 WESTGATE TOWER, SINGAPORE 608531",Commercial Building,Office,Large,2549,19020435.7468941,38868.0,6903244.92,362.448766942465,63782.81,143.055513405967,2143.4597990383,1622.90924021464,3909.42455265891,327.364481211322,0.10058208687503628,platinum,2018.0,New Building for Non-Residential buildings (version 4.1),Pass
WESTGATE TOWER,608531,2023,1.3014,103.8374,"1 GATEWAY DRIVE, #01-51 WESTGATE TOWER, SINGAPORE 608531",Commercial Building,Office,Large,2549,19020435.7468941,38868.0,6986399.94,372.385107968107,67381.6,145.595895575812,2223.50569373348,1643.72516848213,4012.82675779143,348.567179938029,0.10324242970544999,platinum,2018.0,New Building for Non-Residential buildings (version 4.1),Pass
THE GEMINI,117610,2021,1.3082,103.8489,"41 SCIENCE PARK ROAD, SINGAPORE 117610",Commercial Building,Office,Large,2996,24381769.7205901,33322.0,9951403.18,352.70649195344,102076.810244674,143.480981,2100.886383,1770.419651,4014.787015,298.64363423564,0.12048457520556989,gold,2022.0,GM:2021 In Operation,Pass
